line_number,wave_length,degree,,,line2,wave_length2,degree2,,,line3,wave_length3,degree3,real_value
1,7032,2542,,,K1,6907,2506,,,H_1,,2394,6563
2,6929,2518,,,K2,6234,2270,,,H_2,,1404,4861
3,6717,2444,,,1,5791,2068,,,H_3,,756,4341
4,6678,2436,,,2,5770,2056,,,H_4,,338,4100
5,6599,2410,,,3,5461,1876,,,,,,
6,6533,2386,,,4,4916,1452,,,,,,
7,6507,2376,,,5,4358,786,,,,,,
8,6402,2338,,,6,4047,226,,,,,,
9,6383,2330,,,,,,,,,,,
10,6334,2310,,,,,,,,,,,
11,6305,2296,,,,,,,,,,,
12,6267,2284,,,,,,,,,,,
13,6217,2264,,,,,,,,,,,
14,6164,2244,,,,,,,,,,,
15,6143,2234,,,,,,,,,,,
16,6096,2214,,,,,,,,,,,
17,6074,2204,,,,,,,,,,,
18,6030,2186,,,,,,,,,,,
19,5976,2156,,,,,,,,,,,
20,5945,2146,,,,,,,,,,,
21,5882,2114,,,,,,,,,,,
22,5852,2098,,,,,,,,,,,
23,5401,1836,,,,,,,,,,,
24,5341,1800,,,,,,,,,,,
25,5331,1796,,,,,,,,,,,
