I,N,N-N_phon,p,T,mkFermi
0,1.419,1.3072,0,0,0
0.2,1.216,1.1041,62.8,3.8,0
0.4,1.199,1.0874,125.5,15.2,0
0.6,1.549,1.4372,188.3,33.6,208.8066
0.8,2.282,2.1702,251.1,58.3,254.3698
1,5.481,5.3687,313.8,88.7,369.5900
1.2,9.862,9.7499,376.6,123.8,401.3325
1.4,11.994,11.8820,439.4,162.9,355.7609
1.6,14.476,14.3641,502.1,205.4,323.0977
1.8,14.876,14.7639,564.9,250.7,274.8373
2,15.659,15.5471,627.7,298.4,241.3139
2.2,14.476,14.3641,690.5,348.0,200.3917
2.4,12.161,12.0486,753.2,399.2,159.7265
2.6,8.079,7.9673,816.0,451.8,112.0472
2.8,4.698,4.5857,878.8,505.5,71.1942
3,3.915,3.8028,941.5,560.3,56.4181
3.05,8.446,8.3338,957.2,574.1,90.5265
3.1,13.86,13.7477,972.9,587.9,116.9774
3.15,19.723,19.6115,988.6,601.9,138.2433
3.2,24.388,24.2758,1004.3,615.8,151.1093
3.3,23.538,23.4262,1035.7,643.9,141.6182
3.35,19.09,18.9785,1051.4,658.0,123.8706
3.4,14.676,14.5640,1067.1,672.1,105.0884
3.45,9.345,9.2333,1082.8.,686.3,79.8182
3.6,2.399,2.2868,1129.8,729.0,28.1231
3.8,0.983,0.8708,1192.6,786.5,0.0
